INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
222023440,3503,,MISSING PERSON - NOT REPORTED - LOCATED,A7, ,0,4/4/2022 8:13,2022,4,Monday,8,,WALDEMAR AVE,42.39327288,-71.00793914,"(42.39327288451406, -71.00793914033349)"
222012577,3410,,TOWED MOTOR VEHICLE,A7, ,0,2/21/2022 10:34,2022,2,Monday,10,,ORIENT AVE,42.39088974,-71.00810501,"(42.39088973569489, -71.0081050051335)"
222012254,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,A7, ,0,2/19/2022 18:09,2022,2,Saturday,18,,ORIENT AVE,42.39088974,-71.00810501,"(42.39088973569489, -71.0081050051335)"
222020345,2670,,HARASSMENT/ CRIMINAL HARASSMENT,A7, ,0,3/23/2022 15:33,2022,3,Wednesday,15,,ORIENT AVE,42.39088974,-71.00810501,"(42.39088973569489, -71.0081050051335)"
222008623,1402,,VANDALISM,A7, ,0,2/6/2022 1:58,2022,2,Sunday,1,,VALLAR RD,42.39269663,-71.00842413,"(42.39269663200214, -71.00842413382442)"
222020037,1831,,SICK ASSIST,A7, ,0,3/22/2022 15:16,2022,3,Tuesday,15,,BENNINGTON ST,42.3859459,-71.00902371,"(42.385945896072144, -71.00902370569645)"
222012204,617,,LARCENY THEFT FROM BUILDING,A7, ,0,2/19/2022 13:30,2022,2,Saturday,13,,BENNINGTON ST,42.3859459,-71.00902371,"(42.385945896072144, -71.00902370569645)"
222020039,801,,ASSAULT - SIMPLE,A7, ,0,3/22/2022 15:36,2022,3,Tuesday,15,,BENNINGTON ST,42.3859459,-71.00902371,"(42.385945896072144, -71.00902370569645)"
222022729,617,,LARCENY THEFT FROM BUILDING,A7, ,0,4/1/2022 11:47,2022,4,Friday,11,,BOARDMAN ST,42.38817033,-71.00939544,"(42.38817032562882, -71.00939543661947)"
222003868,3115,,INVESTIGATE PERSON,A7, ,0,1/18/2022 16:47,2022,1,Tuesday,16,,LEYDEN ST,42.38969786,-71.00957095,"(42.38969786206824, -71.00957095076055)"
222003433,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,A7, ,0,1/16/2022 14:55,2022,1,Sunday,14,,SARATOGA ST,42.38648845,-71.00986751,"(42.386488453729726, -71.00986750810203)"
222013001,540,,BURGLARY - COMMERICAL,A7,12,0,2/23/2022 3:44,2022,2,Wednesday,3,,TRIDENT ST,42.38580265,-71.01062446,"(42.3858026486234, -71.01062446422064)"
222022715,1831,,SICK ASSIST,A7, ,0,4/1/2022 9:38,2022,4,Friday,9,,BENNINGTON ST,42.38512136,-71.01150101,"(42.385121360362426, -71.01150100653568)"
222016734,3115,,INVESTIGATE PERSON,A7, ,0,3/10/2022 3:15,2022,3,Thursday,3,,BENNINGTON ST,42.38512136,-71.01150101,"(42.385121360362426, -71.01150100653568)"
222001349,3801,,M/V ACCIDENT - OTHER,A7, ,0,1/7/2022 4:09,2022,1,Friday,4,,WILLIAM F MCCLELLAN HWY,42.39352862,-71.01158244,"(42.39352862185009, -71.01158244019425)"
222013115,3115,,INVESTIGATE PERSON,A7, ,0,2/23/2022 14:04,2022,2,Wednesday,14,,BOARDMAN ST,42.39001126,-71.01170314,"(42.39001125619378, -71.01170313549969)"
222015230,2670,,HARASSMENT/ CRIMINAL HARASSMENT,A7, ,0,3/4/2022 8:23,2022,3,Friday,8,,BOARDMAN ST,42.39001126,-71.01170314,"(42.39001125619378, -71.01170313549969)"
222015788,3115,,INVESTIGATE PERSON,A7, ,0,3/6/2022 10:44,2022,3,Sunday,10,,SARATOGA ST,42.38574368,-71.01186957,"(42.385743676655444, -71.01186956910172)"
222005094,2101,,OPERATING UNDER THE INFLUENCE (OUI) ALCOHOL,A7, ,0,1/23/2022 9:07,2022,1,Sunday,9,,SARATOGA ST,42.38574368,-71.01186957,"(42.385743676655444, -71.01186956910172)"
222013168,2610,,TRESPASSING,A7,12,0,2/23/2022 17:45,2022,2,Wednesday,17,,SARATOGA ST,42.38574368,-71.01186957,"(42.385743676655444, -71.01186956910172)"
222007738,1831,,SICK ASSIST,A7, ,0,2/2/2022 17:29,2022,2,Wednesday,17,,SARATOGA ST,42.38574368,-71.01186957,"(42.385743676655444, -71.01186956910172)"
222022784,3115,,INVESTIGATE PERSON,A7, ,0,4/1/2022 12:17,2022,4,Friday,12,,BRANDYWYNE DR,42.38783615,-71.01203798,"(42.387836145047046, -71.01203797794051)"
222022267,3830,,M/V - LEAVING SCENE - PERSONAL INJURY,A7,12,0,3/30/2022 16:25,2022,3,Wednesday,16,,"WESTBROOK ST & BENNINGTON ST
BOSTON  MA 02128
UNIT",42.38473996,-71.01260005,"(42.38473996407274, -71.01260005271843)"
222008918,3114,,INVESTIGATE PROPERTY,A7, ,0,2/7/2022 12:33,2022,2,Monday,12,,COLERIDGE ST,42.38149104,-71.01296503,"(42.38149103594326, -71.01296502606199)"
222011463,3801,,M/V ACCIDENT - OTHER,A7, ,0,2/16/2022 22:42,2022,2,Wednesday,22,,"BOARDMAN ST & WILLIAM F MCCLELLAN HWY
EAST BOSTON ",42.39147301,-71.01306201,"(42.39147300710483, -71.01306201180171)"
222023197,3802,,M/V ACCIDENT - PROPERTY DAMAGE,A7, ,0,4/3/2022 8:41,2022,4,Sunday,8,,BOARDMAN ST,42.39152228,-71.01311911,"(42.39152228013295, -71.01311911306777)"
222009931,3006,,SICK/INJURED/MEDICAL - PERSON,A7, ,0,2/11/2022 0:04,2022,2,Friday,0,,BRANDYWYNE DR,42.38593715,-71.01328384,"(42.38593714665179, -71.01328383637032)"
222012057,3006,,SICK/INJURED/MEDICAL - PERSON,A7, ,0,2/18/2022 23:51,2022,2,Friday,23,,WORDSWORTH ST,42.3834951,-71.0148576,"(42.38349509923445, -71.0148576049542)"
222015967,3115,,INVESTIGATE PERSON,A7, ,0,3/7/2022 3:40,2022,3,Monday,3,,WORDSWORTH ST,42.3834951,-71.0148576,"(42.38349509923445, -71.0148576049542)"
222003490,3803,,M/V ACCIDENT - PERSONAL INJURY,A7, ,0,1/16/2022 21:54,2022,1,Sunday,21,,BENNINGTON ST,42.38367816,-71.01570517,"(42.383678157729854, -71.01570516770892)"
222019478,3410,,TOWED MOTOR VEHICLE,A7, ,0,3/20/2022 13:45,2022,3,Sunday,13,,WILLIAM F MCCLELLAN HWY,42.38831841,-71.01600449,"(42.388318406286395, -71.01600448880342)"
222004130,1832,,SICK ASSIST - DRUG RELATED ILLNESS,A7, ,0,1/19/2022 17:01,2022,1,Wednesday,17,,WILLIAM F MCCLELLAN HWY,42.38831841,-71.01600449,"(42.388318406286395, -71.01600448880342)"
222010913,3802,,M/V ACCIDENT - PROPERTY DAMAGE,A7, ,0,2/14/2022 19:28,2022,2,Monday,19,,WILLIAM F MCCLELLAN HWY,42.38831841,-71.01600449,"(42.388318406286395, -71.01600448880342)"
222000777,801,,ASSAULT - SIMPLE,A7,12,0,1/1/2022 5:30,2022,1,Saturday,5,,WILLIAM F MCCLELLAN HWY,42.38831841,-71.01600449,"(42.388318406286395, -71.01600448880342)"
222002904,1831,,SICK ASSIST,A7,14,0,1/14/2022 10:43,2022,1,Friday,10,,SARATOGA ST,42.38418435,-71.01605543,"(42.384184347284425, -71.01605543161112)"
222008923,3801,,M/V ACCIDENT - OTHER,A7, ,0,2/7/2022 12:04,2022,2,Monday,12,,"BENNINGTON ST & BYRON ST
EAST BOSTON  MA 02128
UNI",42.38338198,-71.01622895,"(42.383381980880436, -71.01622895487701)"
222010085,3110,,SERVICE TO OTHER AGENCY,A7,14,0,2/11/2022 14:21,2022,2,Friday,14,,HOMER ST,42.38172805,-71.01646554,"(42.38172805220844, -71.01646554452813)"
222020556,1831,,SICK ASSIST,A7, ,0,3/24/2022 14:12,2022,3,Thursday,14,,HOMER ST,42.38172805,-71.01646554,"(42.38172805220844, -71.01646554452813)"
222017783,2914,,VAL - OPERATING W/O AUTHORIZATION LAWFUL,A7,12,0,3/11/2022 12:00,2022,3,Friday,12,,ADDISON ST,42.38549647,-71.01681643,"(42.38549646920823, -71.01681643489226)"
222007550,3018,,SICK/INJURED/MEDICAL - POLICE,A7,14,0,2/2/2022 1:49,2022,2,Wednesday,1,,WORDSWORTH ST,42.38492212,-71.0174635,"(42.38492211715947, -71.01746349605745)"
222014656,619,,LARCENY ALL OTHERS,A7,11,0,3/1/2022 23:09,2022,3,Tuesday,23,,WILLIAM F MCCLELLAN HWY,42.38777475,-71.01769231,"(42.3877747458985, -71.0176923100685)"
222004691,540,,BURGLARY - COMMERICAL,A7, ,0,1/21/2022 15:41,2022,1,Friday,15,,WILLIAM F MCCLELLAN HWY,42.38777475,-71.01769231,"(42.3877747458985, -71.0176923100685)"
222019468,3802,,M/V ACCIDENT - PROPERTY DAMAGE,A7,11,0,3/20/2022 13:30,2022,3,Sunday,13,,WILLIAM F MCCLELLAN HWY,42.38777475,-71.01769231,"(42.3877747458985, -71.0176923100685)"
222005122,3114,,INVESTIGATE PROPERTY,A7, ,0,1/23/2022 12:32,2022,1,Sunday,12,,WILLIAM F MCCLELLAN HWY,42.38777475,-71.01769231,"(42.3877747458985, -71.0176923100685)"
222002216,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,A7, ,0,1/11/2022 15:07,2022,1,Tuesday,15,,SARATOGA ST,42.38356715,-71.01770574,"(42.38356714859604, -71.01770573981773)"
222013859,3301,,VERBAL DISPUTE,A7, ,0,2/26/2022 18:00,2022,2,Saturday,18,,SARATOGA ST,42.38356715,-71.01770574,"(42.38356714859604, -71.01770573981773)"
222007928,615,,LARCENY THEFT OF MV PARTS & ACCESSORIES,A7, ,0,2/3/2022 1:00,2022,2,Thursday,1,,BYRON ST,42.38439979,-71.01832187,"(42.38439979198218, -71.01832186888082)"
222022387,1402,,VANDALISM,A7, ,0,3/30/2022 17:00,2022,3,Wednesday,17,,MOORE ST,42.38347542,-71.01899185,"(42.38347541642288, -71.01899184956262)"
222000079,3006,,SICK/INJURED/MEDICAL - PERSON,A7, ,0,1/1/2022 6:19,2022,1,Saturday,6,,HORACE ST,42.3815498,-71.01900246,"(42.3815497968431, -71.01900245855879)"
222009049,1831,,SICK ASSIST,A7, ,0,2/7/2022 19:59,2022,2,Monday,19,,CHAUCER ST,42.38341902,-71.0201905,"(42.38341901805985, -71.02019049864587)"
222004236,3006,,SICK/INJURED/MEDICAL - PERSON,A7, ,0,1/20/2022 2:32,2022,1,Thursday,2,,BENNINGTON ST,42.38157881,-71.02133878,"(42.38157880739299, -71.02133877899719)"
222022281,3802,,M/V ACCIDENT - PROPERTY DAMAGE,A7, ,0,3/30/2022 16:52,2022,3,Wednesday,16,,"CURTIS ST & WILLIAM F MCCLELLAN HWY
EAST BOSTON  M",42.38325796,-71.02162105,"(42.38325796057448, -71.02162105262612)"
222001541,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,A7, ,0,1/8/2022 5:14,2022,1,Saturday,5,,SARATOGA ST,42.38208102,-71.02170103,"(42.38208102056486, -71.02170103370688)"
222001054,1831,,SICK ASSIST,A7, ,0,1/5/2022 20:50,2022,1,Wednesday,20,,"BENNINGTON ST & SWIFT ST
EAST BOSTON  MA 02128
UNI",42.38119298,-71.02220801,"(42.381192978648514, -71.02220801124359)"
222021531,3803,,M/V ACCIDENT - PERSONAL INJURY,A7, ,0,3/28/2022 7:19,2022,3,Monday,7,,CHELSEA ST,42.38550717,-71.02222795,"(42.385507172903026, -71.02222794909206)"
222020238,3803,,M/V ACCIDENT - PERSONAL INJURY,A7, ,0,3/23/2022 11:06,2022,3,Wednesday,11,,"CHELSEA ST & CURTIS ST
EAST BOSTON  MA 02128
UNITE",42.38391598,-71.02266201,"(42.383915982927086, -71.02266201306918)"
222018702,3830,,M/V - LEAVING SCENE - PERSONAL INJURY,A7, ,0,3/17/2022 16:56,2022,3,Thursday,16,,"CHELSEA ST & CURTIS ST
EAST BOSTON  MA 02128
UNITE",42.38391598,-71.02266201,"(42.383915982927086, -71.02266201306918)"
222017729,3802,,M/V ACCIDENT - PROPERTY DAMAGE,A7, ,0,3/14/2022 3:20,2022,3,Monday,3,,CHELSEA ST,42.38215679,-71.02454639,"(42.38215679407032, -71.0245463878859)"
222016578,3122,,AIRCRAFT INCIDENTS,A7, ,0,3/9/2022 12:50,2022,3,Wednesday,12,,PRESCOTT ST,42.37525782,-71.02466343,"(42.37525782172053, -71.02466343305959)"
222010865,3122,,AIRCRAFT INCIDENTS,A7, ,0,2/14/2022 16:33,2022,2,Monday,16,,PRESCOTT ST,42.37525782,-71.02466343,"(42.37525782172053, -71.02466343305959)"
220054412,3122,,AIRCRAFT INCIDENTS,A7, ,0,2/7/2022 9:14,2022,2,Monday,9,,PRESCOTT ST,42.37525782,-71.02466343,"(42.37525782172053, -71.02466343305959)"
222012127,3122,,AIRCRAFT INCIDENTS,A7, ,0,2/18/2022 14:57,2022,2,Friday,14,,PRESCOTT ST,42.37525782,-71.02466343,"(42.37525782172053, -71.02466343305959)"
222024228,2101,,OPERATING UNDER THE INFLUENCE (OUI) ALCOHOL,A7, ,0,4/7/2022 0:30,2022,4,Thursday,0,,VIENNA ST & NEPTUNE RD,42.37963796,-71.02485003,"(42.379637959613504, -71.02485003269618)"
222022499,1102,,FRAUD - FALSE PRETENSE / SCHEME,C6, ,0,3/31/2022 16:02,2022,3,Thursday,16,,FARRAGUT RD,42.33452932,-71.02502298,"(42.334529320720506, -71.02502297595186)"
222011242,3801,,M/V ACCIDENT - OTHER,A7, ,0,2/16/2022 4:53,2022,2,Wednesday,4,,BENNINGTON ST,42.38020461,-71.02503281,"(42.3802046084873, -71.02503280708868)"
222023134,3301,,VERBAL DISPUTE,A7, ,0,4/2/2022 22:50,2022,4,Saturday,22,,BENNINGTON ST,42.38020461,-71.02503281,"(42.3802046084873, -71.02503280708868)"
222014282,3802,,M/V ACCIDENT - PROPERTY DAMAGE,A7, ,0,2/28/2022 14:08,2022,2,Monday,14,,"WILLIAM F MCCLELLAN HWY & NEPTUNE RD
EAST BOSTON  ",42.37977795,-71.02506804,"(42.37977795433142, -71.0250680391414)"
222016699,3116,,HARBOR INCIDENT / VIOLATION,A7,36,0,3/9/2022 20:40,2022,3,Wednesday,20,,HARBORSIDE DR,42.36252502,-71.02533782,"(42.3625250160889, -71.02533782383328)"
222014724,3801,,M/V ACCIDENT - OTHER,A7, ,0,3/2/2022 7:39,2022,3,Wednesday,7,,CHELSEA ST,42.38101018,-71.02586305,"(42.38101017623264, -71.02586305285594)"
222019533,2914,,VAL - OPERATING W/O AUTHORIZATION LAWFUL,A7, ,0,3/20/2022 17:20,2022,3,Sunday,17,,CHELSEA ST,42.38101018,-71.02586305,"(42.38101017623264, -71.02586305285594)"
222022098,724,,AUTO THEFT,A7, ,0,3/30/2022 5:33,2022,3,Wednesday,5,,NEPTUNE RD,42.38031937,-71.02593214,"(42.380319370646355, -71.02593213797729)"
222023756,3115,,INVESTIGATE PERSON,C6, ,0,4/5/2022 10:59,2022,4,Tuesday,10,,LENNON CT,42.3330921,-71.02594901,"(42.33309209783537, -71.02594900509676)"
222012101,801,,ASSAULT - SIMPLE,A7, ,0,2/19/2022 3:31,2022,2,Saturday,3,,SARATOGA ST,42.38000541,-71.02715398,"(42.380005406258746, -71.02715397855023)"
222019511,2905,,VAL - VIOLATION OF AUTO LAW,C6, ,0,3/20/2022 17:21,2022,3,Sunday,17,,P ST & E BROADWAY,42.33577099,-71.02717904,"(42.33577098885166, -71.02717904117442)"
222019602,3018,,SICK/INJURED/MEDICAL - POLICE,C6, ,0,3/20/2022 0:00,2022,3,Sunday,0,,P ST & E BROADWAY,42.33577099,-71.02717904,"(42.33577098885166, -71.02717904117442)"
222000865,1831,,SICK ASSIST,A7, ,0,1/5/2022 8:03,2022,1,Wednesday,8,,E EAGLE ST,42.381334,-71.02718945,"(42.38133400419457, -71.0271894529939)"
220032291,3410,,TOWED MOTOR VEHICLE,C6,224,0,1/23/2022 11:00,2022,1,Sunday,11,,P ST,42.33800322,-71.02723556,"(42.338003222799266, -71.02723555524682)"
222006683,3114,,INVESTIGATE PROPERTY,A7, ,0,1/29/2022 7:45,2022,1,Saturday,7,,"CHELSEA ST & DAY SQ
EAST BOSTON  MA 02128
UNITED S",42.37939904,-71.02776101,"(42.37939903527548, -71.02776101138959)"
222016078,3115,,INVESTIGATE PERSON,A7, ,0,3/7/2022 13:41,2022,3,Monday,13,,BREMEN ST,42.37842947,-71.02778665,"(42.37842946980703, -71.02778664853459)"
222021955,613,,LARCENY SHOPLIFTING,A7,17,0,3/29/2022 0:00,2022,3,Tuesday,0,,BENNINGTON ST,42.37900759,-71.02790689,"(42.379007585138396, -71.0279068898328)"
222022597,801,,ASSAULT - SIMPLE,A7, ,0,3/31/2022 20:11,2022,3,Thursday,20,,BENNINGTON ST,42.37900759,-71.02790689,"(42.379007585138396, -71.0279068898328)"
222020421,2905,,VAL - VIOLATION OF AUTO LAW,A7, ,0,3/23/2022 21:00,2022,3,Wednesday,21,,BENNINGTON ST,42.37900759,-71.02790689,"(42.379007585138396, -71.0279068898328)"
222019580,3301,,VERBAL DISPUTE,C6, ,0,3/20/2022 21:09,2022,3,Sunday,21,,E FOURTH ST,42.33488926,-71.02817379,"(42.33488926174046, -71.02817379416395)"
222013972,3410,,TOWED MOTOR VEHICLE,A7, ,0,2/27/2022 8:10,2022,2,Sunday,8,,PRINCETON ST,42.38043397,-71.02817841,"(42.380433970525715, -71.02817841496669)"
222019939,3007,,SUDDEN DEATH,C6,224,0,3/22/2022 9:16,2022,3,Tuesday,9,,E BROADWAY,42.33575801,-71.02820305,"(42.33575801188977, -71.02820305499344)"
222014717,3410,,TOWED MOTOR VEHICLE,C6, ,0,3/2/2022 8:56,2022,3,Wednesday,8,,E BROADWAY,42.33575801,-71.02820305,"(42.33575801188977, -71.02820305499344)"
222016294,3410,,TOWED MOTOR VEHICLE,A7, ,0,3/8/2022 10:58,2022,3,Tuesday,10,,SARATOGA ST,42.37950444,-71.02857705,"(42.37950444013033, -71.02857704984493)"
222023270,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A7, ,0,4/3/2022 14:40,2022,4,Sunday,14,,"CONDOR ST & E EAGLE ST
EAST BOSTON  MA 02128
UNITE",42.381333,-71.02858797,"(42.38133300412343, -71.02858797255585)"
222005844,3410,,TOWED MOTOR VEHICLE,C6, ,0,1/26/2022 8:36,2022,1,Wednesday,8,,E THIRD ST,42.33661021,-71.02871443,"(42.33661021407912, -71.02871442721528)"
222019514,3802,,M/V ACCIDENT - PROPERTY DAMAGE,A7, ,0,3/20/2022 17:00,2022,3,Sunday,17,,CHELSEA ST,42.37828589,-71.02903766,"(42.37828589360931, -71.0290376560157)"
222007189,3410,,TOWED MOTOR VEHICLE,C6, ,0,1/31/2022 17:08,2022,1,Monday,17,,E FIRST ST,42.33826156,-71.02905319,"(42.33826155802933, -71.02905318809245)"
222017564,801,,ASSAULT - SIMPLE,A7,33,0,3/13/2022 9:32,2022,3,Sunday,9,,SUMNER ST,42.36429803,-71.0291726,"(42.36429803326189, -71.02917260289527)"
222018225,3115,,INVESTIGATE PERSON,A7, ,0,3/15/2022 19:01,2022,3,Tuesday,19,,E EAGLE ST,42.38133607,-71.02924074,"(42.38133606850212, -71.0292407377411)"
222019707,3007,,SUDDEN DEATH,A7, ,0,3/21/2022 11:41,2022,3,Monday,11,,E EAGLE ST,42.38133607,-71.02924074,"(42.38133606850212, -71.0292407377411)"
222004243,3115,,INVESTIGATE PERSON,A7, ,0,1/20/2022 3:20,2022,1,Thursday,3,,BREMEN ST,42.37716786,-71.02925745,"(42.3771678592667, -71.0292574488316)"
222019205,2905,,VAL - VIOLATION OF AUTO LAW,A7, ,0,3/19/2022 11:57,2022,3,Saturday,11,,BREMEN ST,42.37716786,-71.02925745,"(42.3771678592667, -71.0292574488316)"
222018997,1831,,SICK ASSIST,A7, ,0,3/18/2022 17:29,2022,3,Friday,17,,"BENNINGTON ST & PRESCOTT ST
EAST BOSTON  MA 02128
",42.37843399,-71.02940201,"(42.37843398868118, -71.02940201280971)"
222003715,2905,,VAL - VIOLATION OF AUTO LAW,A7, ,0,1/18/2022 2:13,2022,1,Tuesday,2,,"BENNINGTON ST & PRESCOTT ST
EAST BOSTON  MA 02128
",42.37843399,-71.02940201,"(42.37843398868118, -71.02940201280971)"
222008711,1831,,SICK ASSIST,A7, ,0,2/6/2022 14:22,2022,2,Sunday,14,,"BENNINGTON ST & PRESCOTT ST
EAST BOSTON  MA 02128
",42.37843399,-71.02940201,"(42.37843398868118, -71.02940201280971)"
222007812,1402,,VANDALISM,A7, ,0,2/2/2022 21:40,2022,2,Wednesday,21,,PRINCETON ST,42.37996868,-71.02942113,"(42.37996867549108, -71.02942113292846)"
222017098,3115,,INVESTIGATE PERSON,A1, ,0,3/11/2022 11:49,2022,3,Friday,11,,ROCHE BROTHERS,42.37996868,-71.02942113,"(42.37996867549108, -71.02942113292846)"
222020066,2612,,FIRE REPORT/ALARM - FALSE,C6, ,0,3/18/2022 20:15,2022,3,Friday,20,,DRY DOCK AVE,42.34473479,-71.02964543,"(42.34473479427908, -71.02964543228258)"
222013096,3402,,"ANIMAL INCIDENTS (DOG BITES, LOST DOG, ETC)",C6, ,0,2/23/2022 13:46,2022,2,Wednesday,13,,DRY DOCK AVE,42.34473479,-71.02964543,"(42.34473479427908, -71.02964543228258)"
222009961,423,,ASSAULT - AGGRAVATED,C6, ,0,2/11/2022 6:47,2022,2,Friday,6,,DRY DOCK AVE,42.34473479,-71.02964543,"(42.34473479427908, -71.02964543228258)"
222005169,3802,,M/V ACCIDENT - PROPERTY DAMAGE,A7, ,0,1/23/2022 16:11,2022,1,Sunday,16,,"SUMNER ST & JEFFRIES ST
EAST BOSTON  MA 02128
UNIT",42.36456599,-71.02981403,"(42.364565991903724, -71.02981402967788)"
222004746,3301,,VERBAL DISPUTE,A7, ,0,1/21/2022 20:42,2022,1,Friday,20,,CHELSEA ST,42.37757302,-71.02985538,"(42.37757302269145, -71.02985538187083)"
222022983,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6, ,0,3/30/2022 19:00,2022,3,Wednesday,19,,E SEVENTH ST,42.33238533,-71.03016099,"(42.332385330699786, -71.03016099292432)"
222022571,619,,LARCENY ALL OTHERS,C6, ,0,3/31/2022 18:51,2022,3,Thursday,18,,E SIXTH ST,42.33321208,-71.0301811,"(42.33321207600218, -71.03018109908567)"
222019305,3410,,TOWED MOTOR VEHICLE,C6, ,0,3/19/2022 19:09,2022,3,Saturday,19,,E FIFTH ST,42.33403143,-71.03020896,"(42.334031429094615, -71.03020895890697)"
222014043,3108,,FIRE REPORT,C6, ,0,2/27/2022 11:17,2022,2,Sunday,11,,E FOURTH ST,42.33485456,-71.0302343,"(42.334854557411234, -71.03023429691959)"
222010577,3001,,DEATH INVESTIGATION,C6, ,0,2/13/2022 11:44,2022,2,Sunday,11,,E FOURTH ST,42.33485456,-71.0302343,"(42.334854557411234, -71.03023429691959)"
222014973,3410,,TOWED MOTOR VEHICLE,C6, ,0,3/3/2022 8:43,2022,3,Thursday,8,,E BROADWAY,42.33571838,-71.03025592,"(42.33571838298385, -71.03025591966643)"
